Date,Price,Open,High,Low,Vol,Change,200EMA,20EMA
2022.12.28,1.0608,1.0642,1.0675,1.0606,56020,-0.28,1.042,1.0553
2022.12.27,1.0638,1.0638,1.067,1.0611,68370,0.03,1.0418,1.0547
2022.12.26,1.0635,1.0611,1.0638,1.0604,17500,0.2,1.0416,1.0537
2022.12.23,1.0614,1.0595,1.0633,1.0586,94320,0.2,1.0413,1.0527
2022.12.22,1.0593,1.0607,1.066,1.0573,97300,-0.09,1.0411,1.0518
2022.12.21,1.0603,1.0625,1.0647,1.0589,86750,-0.17,1.041,1.051
2022.12.20,1.0621,1.0606,1.066,1.0579,130479,0.15,1.0408,1.05
2022.12.19,1.0605,1.0591,1.0659,1.0575,91770,0.22,1.0406,1.0487
2022.12.16,1.0582,1.0626,1.0663,1.0584,96980,-0.41,1.0404,1.0475
2022.12.15,1.0626,1.0683,1.0737,1.0592,96300,-0.52,1.0402,1.0464
2022.12.14,1.0682,1.0633,1.0696,1.0618,93430,0.49,1.0399,1.0447
2022.12.13,1.063,1.0534,1.0674,1.0527,76620,0.9,1.0397,1.0422
2022.12.12,1.0535,1.0528,1.0581,1.0506,72910,0.05,1.0394,1.04
2022.12.09,1.053,1.0559,1.0589,1.0507,81680,-0.25,1.0393,1.0386
2022.12.08,1.0556,1.0508,1.0566,1.0489,89810,0.49,1.0392,1.0371
2022.12.07,1.0505,1.0469,1.0551,1.0443,102170,0.34,1.039,1.0351
2022.12.06,1.0469,1.0489,1.0533,1.0459,83940,-0.21,1.0389,1.0335
2022.12.05,1.0491,1.0517,1.0596,1.048,91070,-0.45,1.0388,1.0321
2022.12.02,1.0538,1.0524,1.0546,1.0428,82220,0.15,1.0387,1.0303
2022.12.01,1.0522,1.0407,1.0534,1.0393,108310,1.12,1.0385,1.0278
2022.11.30,1.0405,1.0329,1.043,1.0289,92190,0.76,1.0384,1.0253
2022.11.29,1.0327,1.034,1.0395,1.0319,75180,-0.1,1.0384,1.0237
2022.11.28,1.0337,1.0382,1.0497,1.033,78440,-0.56,1.0384,1.0227
2022.11.25,1.0395,1.0409,1.043,1.0354,70180,-0.12,1.0385,1.0216
2022.11.24,1.0408,1.0398,1.045,1.0381,68510,0.13,1.0385,1.0197
2022.11.23,1.0395,1.0304,1.0405,1.0296,74480,0.9,1.0384,1.0175
2022.11.22,1.0302,1.0243,1.0309,1.0239,79180,0.6,1.0384,1.0151
2022.11.21,1.0241,1.0318,1.0334,1.0223,82170,-0.8,1.0385,1.0135
2022.11.18,1.0324,1.0362,1.0396,1.0313,95100,-0.35,1.0387,1.0124
2022.11.17,1.036,1.0395,1.0408,1.0304,98800,-0.31,1.0387,1.0103
2022.11.16,1.0392,1.0349,1.0439,1.033,103830,0.43,1.0388,1.0076
2022.11.15,1.0348,1.0325,1.0481,1.028,104610,0.22,1.0387,1.0043
2022.11.14,1.0325,1.0366,1.0368,1.0271,103340,-0.26,1.0388,1.0011
2022.11.11,1.0352,1.0209,1.0365,1.0163,113990,1.41,1.0389,0.9978
2022.11.10,1.0208,1.0008,1.0223,0.9935,128780,1.97,1.0389,0.9939
2022.11.09,1.0011,1.0074,1.0089,0.9992,117090,-0.61,1.0391,0.991
2022.11.08,1.0072,1.0022,1.0097,0.9972,100700,0.53,1.0395,0.99
2022.11.07,1.0019,0.9911,1.0035,0.9899,94490,0.59,1.0398,0.9881
2022.11.04,0.996,0.975,0.9967,0.9742,86220,2.14,1.0402,0.9867
2022.11.03,0.9751,0.9819,0.984,0.9729,76010,-0.67,1.0406,0.9857
2022.11.02,0.9817,0.9875,0.9977,0.9812,77340,-0.58,1.0413,0.9868
2022.11.01,0.9874,0.9882,0.9955,0.9852,71010,-0.09,1.0419,0.9874
2022.10.31,0.9883,0.9947,0.9966,0.9872,75220,-0.8,1.0424,0.9874
2022.10.28,0.9963,0.9965,0.9998,0.9926,76680,0.01,1.0429,0.9873
2022.10.27,0.9962,1.0079,1.0094,0.9957,110900,-1.14,1.0434,0.9863
2022.10.26,1.0077,0.9966,1.0089,0.9943,84300,1.13,1.0439,0.9853
2022.10.25,0.9964,0.9874,0.9977,0.9848,74000,0.91,1.0443,0.9829
2022.10.24,0.9874,0.9867,0.99,0.9807,91240,0.14,1.0447,0.9815
2022.10.21,0.986,0.9786,0.9869,0.9704,92870,0.79,1.0453,0.9809
2022.10.20,0.9783,0.9773,0.9846,0.9754,92630,0.12,1.0459,0.9803
2022.10.19,0.9771,0.9858,0.9873,0.9757,88910,-0.82,1.0466,0.9805
2022.10.18,0.9852,0.9838,0.9876,0.9812,98980,0.14,1.0473,0.9809
2022.10.17,0.9838,0.9726,0.9853,0.9719,88290,1.22,1.0479,0.9805
2022.10.14,0.9719,0.9778,0.9809,0.9707,108590,-0.55,1.0486,0.9801
2022.10.13,0.9773,0.9702,0.9807,0.9632,95280,0.71,1.0493,0.981
2022.10.12,0.9704,0.9708,0.9735,0.9668,93220,0.01,1.05,0.9814
2022.10.11,0.9703,0.97,0.9776,0.9672,127210,0.03,1.0509,0.9825
2022.10.10,0.97,0.9736,0.9754,0.9682,97220,-0.42,1.0517,0.9838
2022.10.07,0.9741,0.979,0.9818,0.9725,78520,-0.48,1.0525,0.9852
2022.10.06,0.9788,0.9879,0.9927,0.9787,89260,-0.95,1.0533,0.9864
2022.10.05,0.9882,0.9986,0.9995,0.9834,88680,-1.01,1.054,0.9872
2022.10.04,0.9983,0.9826,1,0.9805,86110,1.62,1.0547,0.9871
2022.10.03,0.9824,0.98,0.9845,0.9753,97650,0.26,1.0552,0.9859
2022.09.30,0.9799,0.9816,0.9855,0.9735,94060,-0.15,1.056,0.9863
2022.09.29,0.9814,0.9735,0.9816,0.9635,96260,0.82,1.0567,0.987
2022.09.28,0.9734,0.9594,0.9751,0.9535,104440,1.48,1.0575,0.9876
