Date,Price,Open,High,Low,Change %,200EMA,20EMA,toZone,kt_score,bs_score
07/23/2015,1.0983,1.0928,1.1019,1.0922,0.45%,1.1535,1.1012,0.00416,29.39037982227943,0.007275879733615374
07/22/2015,1.0934,1.0936,1.0966,1.0869,-0.03%,1.154,1.1015,0.00906,20.074717751918946,626.8738994801245
07/21/2015,1.0937,1.0825,1.097,1.0811,1.02%,1.1546,1.1024,0.00876,16.72317610465524,0.03216234441116845
07/20/2015,1.0827,1.0833,1.0872,1.081,-0.02%,1.1553,1.1033,4e-05,13.34141204304824,0.0
07/17/2015,1.0829,1.0875,1.0907,1.0827,-0.42%,1.156,1.1055,0.00016,13.09768204968718,0.0
07/16/2015,1.0875,1.0947,1.0964,1.0856,-0.68%,1.1567,1.1079,0.00476,13.78958999740628,0.0
07/15/2015,1.0949,1.101,1.1035,1.093,-0.57%,1.1574,1.11,0.00756,30.285257060428375,0.10486364293057046
07/14/2015,1.1012,1.1004,1.1084,1.0966,0.07%,1.158,1.1116,0.00126,36.4510196150996,132.68121113991037
07/13/2015,1.1004,1.1107,1.1197,1.0995,-1.43%,1.1586,1.1127,0.00206,26.306097195344304,15.651113915522838
07/10/2015,1.1164,1.1037,1.1218,1.1031,1.14%,1.1592,1.114,0.00051,20.88627441539513,1.2602772479526885
07/09/2015,1.1038,1.1078,1.1126,1.0992,-0.35%,1.1596,1.1137,0.00134,17.55188921326957,10.557034753363059
07/08/2015,1.1077,1.1012,1.1094,1.0974,0.59%,1.1602,1.1148,0.00524,42.30012981576015,2.9797451367800987
07/07/2015,1.1012,1.1056,1.1061,1.0917,-0.41%,1.1607,1.1155,0.00126,18.627806104466682,9.304278765948421
07/06/2015,1.1057,1.0993,1.1097,1.0969,-0.51%,1.1613,1.117,0.00324,8.507723319477446,0.0
07/03/2015,1.1114,1.1086,1.1119,1.1066,0.27%,1.1619,1.1182,0.00551,16.325890416965105,0.0
07/02/2015,1.1084,1.1054,1.1124,1.1031,0.27%,1.1624,1.1189,0.00594,17.43017468302345,24.093692647395002
07/01/2015,1.1054,1.1139,1.1172,1.1042,-0.75%,1.1629,1.12,0.00294,16.125009315791015,0.0
06/30/2015,1.1138,1.1237,1.1246,1.1114,-0.87%,1.1635,1.1216,0.00311,42.572422959091774,42.43125279438106
06/29/2015,1.1236,1.1031,1.1279,1.0954,0.63%,1.164,1.1224,0.0061,14.722211808809972,0.8202817869415795
06/26/2015,1.1166,1.1207,1.1221,1.1131,-0.34%,1.1644,1.1223,0.00031,23.798472062492394,0.0
06/25/2015,1.1204,1.1204,1.1227,1.1153,-0.03%,1.1649,1.1229,0.00349,12.869123327929918,0.0
06/24/2015,1.1207,1.1171,1.1237,1.1156,0.33%,1.1653,1.1231,0.00379,25.47726592081721,81.25985154037589
06/23/2015,1.117,1.1341,1.1348,1.1135,-1.51%,1.1658,1.1234,9e-05,19.225889316096684,0.0
06/22/2015,1.1341,1.1363,1.1411,1.1312,-0.11%,1.1663,1.1241,0.0044,25.495940152619358,0.0
06/19/2015,1.1353,1.136,1.1393,1.1292,-0.06%,1.1666,1.123,0.0056,39.489462747625815,7.555199480787285
06/18/2015,1.136,1.1337,1.1438,1.1331,0.20%,1.1669,1.1217,0.0063,19.462562622610637,0.0
06/17/2015,1.1337,1.1249,1.136,1.1213,0.79%,1.1672,1.1202,0.004,20.29916194155374,1.3925225091906632
06/16/2015,1.1248,1.1283,1.1331,1.1206,-0.32%,1.1676,1.1188,0.0049,15.972786987801143,9.942307052317219
06/15/2015,1.1284,1.1225,1.1294,1.1189,0.13%,1.168,1.1182,0.0013,54.003999143835095,0.0
06/12/2015,1.1269,1.1258,1.1298,1.1151,0.10%,1.1684,1.1171,0.0028,29.991080433394067,40.82306184058817
06/11/2015,1.1258,1.1325,1.1332,1.1183,-0.60%,1.1688,1.1161,0.0039,24.432974253672374,2.3872424326008073
06/10/2015,1.1326,1.1286,1.1387,1.1261,0.37%,1.1692,1.115,0.0029,28.12316225750599,0.16005473828255098
06/09/2015,1.1284,1.1292,1.1345,1.1214,-0.07%,1.1696,1.1132,0.0013,26.55225630050605,400.37552582083873
06/08/2015,1.1292,1.1113,1.1307,1.108,1.61%,1.17,1.1116,0.0005,31.751641025641078,8.872305973356161
06/05/2015,1.1113,1.1239,1.1281,1.105,-1.12%,1.1704,1.1097,0.00561,48.42481203007524,0.0
06/04/2015,1.1239,1.1276,1.1381,1.1227,-0.32%,1.171,1.1096,0.0058,31.584252582780284,41.53901262492147
06/03/2015,1.1275,1.1151,1.1284,1.1079,1.08%,1.1715,1.1081,0.0022,32.21266168729557,0.0
06/02/2015,1.1155,1.0928,1.1193,1.0915,2.08%,1.1719,1.106,0.00141,16.831060806152532,1.6400463045628313
06/01/2015,1.0928,1.0989,1.0991,1.0888,-0.55%,1.1725,1.105,0.00966,11.026953900448467,2.6211611730574367
05/29/2015,1.0988,1.0948,1.1006,1.0926,0.36%,1.1733,1.1063,0.00366,15.046097642236932,0.0
05/28/2015,1.0949,1.0905,1.096,1.0869,0.40%,1.1741,1.1071,0.00756,21.228628971860527,0.0
05/27/2015,1.0905,1.0873,1.0931,1.082,0.29%,1.1749,1.1084,0.00776,13.2802369198593,34.47658444335704
05/26/2015,1.0873,1.0978,1.0985,1.0863,-0.96%,1.1757,1.1103,0.00456,7.644143914263831,0.0
05/25/2015,1.0978,1.1006,1.1012,1.0961,-0.36%,1.1766,1.1127,0.00466,38.62894965337613,0.0
05/22/2015,1.1018,1.1115,1.1211,1.1004,-0.85%,1.1774,1.1142,0.00066,30.930499405470993,0.4543688784828998
05/21/2015,1.1113,1.1092,1.1181,1.108,0.18%,1.1781,1.1155,0.00561,13.720414226296239,15.480621339445149
05/20/2015,1.1093,1.115,1.1156,1.1063,-0.50%,1.1788,1.116,0.00684,24.388302326198374,0.0
05/19/2015,1.1149,1.1317,1.1328,1.1119,-1.47%,1.1795,1.1167,0.00201,17.10391735355548,0.0
05/18/2015,1.1315,1.1441,1.145,1.1298,-1.20%,1.1802,1.1169,0.0018,35.86327949173016,1.3995255041518322
05/15/2015,1.1452,1.141,1.1467,1.1324,0.37%,1.1806,1.1153,0.00014,16.28957518530253,0.0
05/14/2015,1.141,1.1359,1.1447,1.1341,0.47%,1.181,1.1122,0.00406,21.419670601517684,0.0
05/13/2015,1.1357,1.1214,1.1385,1.1204,1.28%,1.1814,1.1092,0.006,25.572068202979416,0.0
05/12/2015,1.1214,1.1155,1.1277,1.1134,0.53%,1.1819,1.1064,0.00449,11.102053408136781,2.991348317345923
05/11/2015,1.1155,1.1197,1.1207,1.1131,-0.44%,1.1825,1.1048,0.00141,14.578645557795728,0.0
05/08/2015,1.1204,1.1267,1.129,1.1178,-0.56%,1.1831,1.1037,0.00349,22.136726166235007,0.0
05/07/2015,1.1267,1.1347,1.1393,1.1237,-0.76%,1.1838,1.1019,0.003,21.714955286194204,34.42754181449545
05/06/2015,1.1353,1.1187,1.1372,1.1176,1.49%,1.1844,1.0993,0.0056,32.01023836186213,0.0
05/05/2015,1.1186,1.1147,1.1223,1.1067,0.36%,1.1848,1.0955,0.00169,13.437048073060357,8.045776415796784
05/04/2015,1.1146,1.1202,1.1226,1.1123,-0.50%,1.1855,1.0931,0.00231,27.667390902482516,0.0
05/01/2015,1.1202,1.1223,1.129,1.1176,-0.20%,1.1862,1.0908,0.00329,27.62110069152581,42.9508293791306
04/30/2015,1.1225,1.113,1.1269,1.1073,0.84%,1.1869,1.0877,0.00559,30.504366220778383,0.0
04/29/2015,1.1132,1.0983,1.1189,1.096,1.38%,1.1875,1.0841,0.00371,17.950785284861233,0.0
04/28/2015,1.0981,1.0894,1.0991,1.0859,0.85%,1.1883,1.081,0.00436,20.800597645222247,0.0
04/27/2015,1.0888,1.0873,1.0928,1.0821,0.13%,1.1892,1.0792,0.00606,17.690374776497297,0.0
04/24/2015,1.0874,1.0825,1.0901,1.0785,0.43%,1.1902,1.0782,0.00466,26.830716700044942,0.0
04/23/2015,1.0827,1.0726,1.0848,1.0667,0.94%,1.1912,1.0772,4e-05,32.06291414819675,0.09910133054946398
04/22/2015,1.0726,1.0736,1.0802,1.0709,-0.09%,1.1923,1.0767,0.01014,31.487027698566234,0.0
04/21/2015,1.0736,1.074,1.0784,1.0661,-0.01%,1.1935,1.0771,0.00914,14.240213276459992,0.0
04/20/2015,1.0737,1.0821,1.0825,1.0713,-0.65%,1.1947,1.0774,0.00904,18.25975092372247,2.4082928768728107
04/17/2015,1.0807,1.0762,1.085,1.0737,0.42%,1.1959,1.0778,0.00204,27.85054442183643,0.0
04/16/2015,1.0762,1.0684,1.0819,1.0625,0.71%,1.1971,1.0775,0.00654,35.71624463982361,0.0
04/15/2015,1.0686,1.0655,1.0703,1.0572,0.30%,1.1983,1.0777,0.01414,25.86754865091152,0.0
04/14/2015,1.0654,1.0566,1.0709,1.053,0.81%,1.1996,1.0786,0.01107,19.1952189945665,1.3151694504229343
04/13/2015,1.0568,1.0602,1.0619,1.052,-0.34%,1.201,1.08,0.00247,16.592980746497425,0.0
04/10/2015,1.0604,1.066,1.0685,1.0569,-0.52%,1.2024,1.0825,0.00607,17.518809176518637,0.0
04/09/2015,1.0659,1.0781,1.0789,1.0638,-1.13%,1.2038,1.0848,0.01157,29.603619308089062,0.0
04/08/2015,1.0781,1.0816,1.0888,1.0764,-0.32%,1.2052,1.0868,0.00464,19.76830883833832,0.0
04/07/2015,1.0816,1.0922,1.0957,1.0805,-0.99%,1.2065,1.0877,0.00114,19.866382925818293,0.0
04/06/2015,1.0924,1.0991,1.1037,1.0911,-0.49%,1.2078,1.0884,0.00966,23.614469689706723,13.457881358236465
04/03/2015,1.0978,1.0883,1.1028,1.0864,0.86%,1.2089,1.0879,0.00466,17.8478042239357,0.0
04/02/2015,1.0884,1.0764,1.0905,1.0751,1.11%,1.21,1.0869,0.00566,14.958275849403238,0.0
04/01/2015,1.0764,1.0735,1.0801,1.0719,0.31%,1.2113,1.0867,0.00634,15.365231030980132,35.91436501677998
03/31/2015,1.0731,1.0833,1.0846,1.0713,-0.95%,1.2126,1.0878,0.00964,11.726128560171002,0.0
03/30/2015,1.0834,1.0889,1.0897,1.0811,-0.50%,1.214,1.0894,0.00066,34.26327018121896,0.007264939344015094
03/27/2015,1.0888,1.0886,1.0949,1.0802,0.04%,1.2153,1.09,0.00606,34.03282601113089,361.63642721965226
03/26/2015,1.0884,1.0969,1.1052,1.0856,-0.80%,1.2166,1.0901,0.00566,18.64666422007283,2.48675169952901
03/25/2015,1.0972,1.0926,1.1016,1.0901,0.42%,1.2179,1.0903,0.00526,35.16370369264505,0.9596402574638501
03/24/2015,1.0926,1.0947,1.1031,1.0892,-0.19%,1.2191,1.0896,0.00986,30.793794329150195,57.557604946661655
03/23/2015,1.0947,1.0837,1.0972,1.0768,1.16%,1.2204,1.0893,0.00776,31.594407857126598,0.0
03/20/2015,1.0822,1.0661,1.0883,1.065,1.52%,1.2216,1.0887,0.00054,36.09032539454497,26.387970973816923
03/19/2015,1.066,1.0866,1.0915,1.0613,-1.90%,1.223,1.0894,0.01167,71.52842042667044,35.080744230723326
03/18/2015,1.0867,1.0598,1.1033,1.0581,2.54%,1.2246,1.0918,0.00396,20.877031492696997,0.0
03/17/2015,1.0598,1.0566,1.065,1.0551,0.28%,1.226,1.0924,0.00547,24.110450035170864,0.0
03/16/2015,1.0568,1.0494,1.0621,1.0459,0.70%,1.2277,1.0958,0.00247,21.726124053107604,27.28637993699542
03/13/2015,1.0495,1.0637,1.0639,1.0462,-1.32%,1.2294,1.0999,0.00483,26.03554733838444,5.445536469181022
03/12/2015,1.0635,1.0547,1.0684,1.0495,0.83%,1.2312,1.1052,0.00917,25.02329562942466,26.29079685746412
03/11/2015,1.0547,1.0699,1.0718,1.0511,-1.41%,1.2329,1.1096,0.00037,16.997932013745647,0.0
03/10/2015,1.0698,1.0851,1.0856,1.0692,-1.42%,1.2347,1.1154,0.01294,24.946077924835016,0.2610991212175618
03/09/2015,1.0852,1.0832,1.0908,1.0823,0.07%,1.2363,1.1202,0.00246,19.527333544231013,178.8361477796634
03/06/2015,1.0844,1.1033,1.1035,1.0842,-1.70%,1.2379,1.1238,0.00166,18.877098311656752,0.0
03/05/2015,1.1031,1.1079,1.1115,1.0989,-0.43%,1.2394,1.128,0.00064,14.451250306301143,0.0
03/04/2015,1.1079,1.1178,1.1187,1.1062,-0.87%,1.2408,1.1306,0.00544,14.643897946024723,0.0
03/03/2015,1.1176,1.1183,1.1219,1.1155,-0.08%,1.2421,1.133,0.00069,24.629321885746464,0.0
03/02/2015,1.1185,1.1187,1.1242,1.1159,-0.09%,1.2434,1.1346,0.00159,23.35585223312511,0.0
02/27/2015,1.1195,1.1199,1.1248,1.1178,-0.03%,1.2446,1.1363,0.00259,21.948890665300773,0.0
02/26/2015,1.1198,1.1361,1.1381,1.1184,-1.44%,1.2459,1.1381,0.00289,10.81397698737545,0.29664652206481573
02/25/2015,1.1362,1.134,1.1389,1.1334,0.19%,1.2471,1.14,0.0065,20.983955777403263,0.0
02/24/2015,1.1341,1.1336,1.136,1.1289,0.08%,1.2483,1.1404,0.0044,16.96552462568618,56.22950572777277
02/23/2015,1.1332,1.1385,1.1414,1.1296,-0.43%,1.2494,1.1411,0.0035,37.342787751235946,0.2280826117290479
02/20/2015,1.1381,1.137,1.1431,1.128,0.13%,1.2506,1.1419,0.00696,21.506995689688388,8.744047947894392
02/19/2015,1.1366,1.1397,1.145,1.1355,-0.27%,1.2517,1.1423,0.0069,33.567787808580185,0.0
02/18/2015,1.1397,1.1412,1.1418,1.1334,-0.13%,1.2529,1.1429,0.00536,18.22042727538776,22.406976880303723
02/17/2015,1.1412,1.1354,1.145,1.1322,0.52%,1.254,1.1433,0.00386,18.463240454076317,1.7670659407139466
02/16/2015,1.1353,1.1385,1.1429,1.1317,-0.28%,1.2551,1.1435,0.0056,17.273020684303322,0.0
02/13/2015,1.1385,1.1403,1.1443,1.138,-0.16%,1.2563,1.1444,0.00656,16.434848453680843,26.424735333917692
