,0
173,991643.8940000001
174,991800.6940000001
175,992584.6940000001
176,993123.6940000001
177,992810.094
178,992408.2940000001
179,992496.4940000001
180,992271.094
181,992173.094
182,992124.094
183,992035.8940000001
184,993084.4940000001
185,993780.2940000001
186,992868.8940000001
187,992614.094
188,991967.2940000001
189,991310.6940000001
190,991183.2940000001
191,991046.094
192,991594.8940000001
193,991075.4940000001
194,990565.8940000001
195,991124.4940000001
196,990546.2940000001
197,990320.8940000001
198,990105.2940000001
199,990154.2940000001
200,990791.2940000001
201,990644.2940000001
202,990673.6940000001
203,989419.2940000001
204,988684.2940000001
205,987890.4940000001
206,987312.2940000001
207,987830.1944
208,987350.1944
209,987490.1944
210,988560.1944
211,987770.1944
212,987850.1944
213,987900.1944
214,987620.1944
215,987450.1944
216,986120.1944
217,986372.9186000001
218,986653.1781000001
219,987789.5913000001
220,987007.4913000001
221,988155.8913000001
222,988017.2913000002
223,989185.4913000001
224,989630.9913000001
225,989126.0913000001
226,989541.8913000001
227,989650.7913000002
228,990056.6913000001
229,989621.0913000001
230,988779.5913000001
231,989749.7913000002
232,989502.2913000002
233,989234.9913000001
234,989284.4913000001
235,989452.7913000002
236,988462.7913000002
237,987433.1913000001
238,986412.1400000001
239,986470.4989000001
240,986719.4572000001
241,987767.813
242,987015.413
243,987391.613
244,987554.4110000001
245,987945.3583000001
246,987543.5583000001
247,987823.8057000001
248,988114.8057000001
249,987464.9057000001
250,986751.2467000001
251,987094.0262000001
252,986598.1262000002
253,986551.5414000001
254,985221.6995000001
255,984456.0995000001
256,984262.4995
257,984385.6995000001
258,983227.5822000001
259,983226.5782000001
260,983412.4742000002
261,983046.2437000001
262,983614.7419000001
263,984100.9334000001
264,984767.3619000001
265,984360.3163000002
266,984750.4273000001
267,984617.5123000001
268,984673.8699
269,983903.2479000001
270,984517.2363000001
271,984498.1373000001
272,984653.3177000001
273,984965.1741000002
274,984314.0436000002
275,984283.7606000002
276,984771.6796000001
277,984361.6302000001
278,984472.7123000001
279,984554.0133000001
280,984993.9705000002
281,985076.9107000001
282,984780.2527000001
283,984270.1212
284,984310.1212
285,984350.0362000001
286,983980.9462000001
287,983796.5284000002
288,983406.5202000001
289,983513.7314000002
290,983500.4344000001
291,983525.7410000002
292,983534.8462000001
293,983590.6577000001
294,983648.2577000002
295,983782.5563000002
296,983359.5288000002
297,983371.0563000002
298,983288.5663000002
299,983214.6028000002
300,983508.6028000002
301,983484.2024000002
302,983763.7029000001
303,983894.9869000003
304,983446.3623000002
305,983478.4685000002
306,983545.7725000002
307,983582.5720000002
308,983613.8660000002
309,983445.5660000001
310,982971.0716000001
311,982971.0716000001
312,982447.7042
313,982231.8684
314,982177.1464
315,982612.3276
316,982818.0600999999
317,982771.2969
318,982847.3369
319,983402.4239
320,983004.5267
321,982714.7872
322,982535.6082
323,982416.8082
324,982442.8682
325,982421.8682
326,982721.0172
327,982500.6616
328,982981.2890000001
329,983052.3700000001
330,982729.3700000001
331,982779.4154
332,983094.3368
333,983120.2032999999
334,983474.0663
335,983935.3731
336,983455.5652
337,983381.5721999999
338,983106.5828
339,983068.7418
340,982828.6043
341,982538.8043
342,983215.0042999999
343,983681.2043
344,983907.9998999999
345,983579.5628999999
346,984659.9589
347,985491.0380000001
348,985279.8648
349,985398.8323
350,985632.3974
351,985468.6184
352,985225.8374
353,984778.1784
354,985102.4569
355,985610.0569
356,985669.4569
357,985526.9751
358,985282.3841
359,985219.8161
360,985655.5832
361,986285.3018
362,986245.7398000001
363,986117.2813
364,986034.0368
365,986188.9899
366,986392.9899
367,986268.9899
368,986292.5371000001
369,986687.4837000001
370,986895.3571
371,986679.1156
372,986526.8026
373,986592.0071
374,986675.3859000001
375,986580.0734000001
376,986520.0734000001
377,986600.0734000001
378,986738.3512
379,986758.4874
380,986583.5874
381,986863.3265
382,987080.295
383,986853.0248
384,986197.0585
385,986472.5825
386,985983.4805000001
387,986672.4283
388,987239.1098
389,987306.2648
390,987422.6967999999
391,988028.4182999999
392,987903.3329
393,987828.9329
394,987609.1219
395,987606.9639
396,987892.9058999999
397,988054.8893999999
398,988129.4033999998
399,988185.7289999998
400,988424.7527999998
401,988260.0693999998
402,988149.5693999998
403,987989.8943999998
404,988065.6693999997
405,988728.0373999997
406,988252.7423999996
407,987616.5878999997
408,987308.7928999997
409,987298.1293999997
410,987219.4841999997
411,987353.4130999998
412,987023.5440999998
413,987254.6082999998
414,987334.5359999997
415,987063.5883999998
416,986974.5193999998
417,987051.8519999998
418,987036.3079999997
419,986845.2393999997
420,986637.4153999997
421,986607.0947999997
422,986310.5962999996
423,986628.4880999997
424,986492.6855999997
425,986886.1703999997
426,986569.0367999997
427,986657.2171999996
428,986923.8171999997
429,986368.3490999996
430,986344.2745999997
431,986504.2200999997
432,986773.6300999996
433,987125.3653999995
434,987127.3998999996
435,986564.7265999996
436,986690.6380999996
437,987051.4380999996
438,987149.8380999996
439,987349.7938999996
440,987678.8098999996
441,987572.4242999996
442,987316.0584999996
443,987430.9050999996
444,987585.3065999995
445,987579.8845999995
446,987831.9157999995
447,987599.6345999995
448,987797.2651999994
449,987958.2146999994
450,987798.2146999994
451,987856.0340999995
452,987786.7417999995
453,987668.9417999996
454,987793.5102999996
455,987998.9102999995
456,988125.3110999996
457,988001.2024999995
458,987841.7034999995
459,987964.3186999995
460,987923.2214999995
461,987958.2214999995
462,988015.7364999995
463,988202.7409999996
464,987943.7409999996
465,988218.2549999995
466,988162.2549999995
467,988190.2549999995
468,987934.9514999996
469,988034.1568999996
470,988236.0573999996
471,988076.5513999995
472,988150.8453999995
473,988051.4387999994
474,987892.8381999994
475,987947.3576999995
476,987752.3576999995
477,987596.8996999995
478,987636.1284999994
479,987606.2410999995
480,987550.1548999995
481,987369.6708999994
482,987484.6937999995
483,987478.4123999994
484,987372.6499999994
485,987309.7624999995
486,987248.8124999994
487,987249.8514999994
488,987221.1062999995
489,987261.7062999995
490,987214.9382999995
491,987285.8692999994
492,987229.7930999994
493,987229.4506999995
494,987216.4936999995
495,987217.4241999995
496,987258.9241999995
497,987235.0677999995
498,987236.3926999995
499,987259.8171999995
