Date,Price,Open,High,Low,200EMA
6/23/2016,1.1389,1.1298,1.1424,1.1296,1.1202
6/22/2016,1.1297,1.1242,1.1339,1.1236,1.1201
6/21/2016,1.1242,1.1312,1.1351,1.1241,1.12
6/20/2016,1.1314,1.1285,1.1386,1.1284,1.1199
6/17/2016,1.1277,1.1226,1.1299,1.1221,1.1198
6/16/2016,1.1226,1.126,1.1298,1.1132,1.1197
6/15/2016,1.1259,1.1205,1.1299,1.119,1.1197
6/14/2016,1.1208,1.1293,1.1304,1.1188,1.1196
6/13/2016,1.1292,1.1253,1.1304,1.1233,1.1196
06/10/2016,1.1251,1.1317,1.1329,1.1245,1.1195
06/09/2016,1.1316,1.1399,1.1417,1.1305,1.1195
06/08/2016,1.1394,1.1358,1.1412,1.1349,1.1194
06/07/2016,1.1358,1.1355,1.1382,1.1338,1.1191
06/06/2016,1.1355,1.1353,1.1395,1.1328,1.119
06/03/2016,1.1367,1.1152,1.1377,1.1136,1.1188
06/02/2016,1.1151,1.1189,1.1221,1.1142,1.1186
06/01/2016,1.1188,1.1133,1.1198,1.1114,1.1187
5/31/2016,1.1132,1.1138,1.1176,1.1123,1.1187
5/30/2016,1.1147,1.1117,1.1149,1.1098,1.1187
5/27/2016,1.1115,1.1193,1.1201,1.1107,1.1188
5/26/2016,1.1194,1.1154,1.1218,1.1144,1.1188
5/25/2016,1.1155,1.1141,1.1169,1.1128,1.1188
5/24/2016,1.1141,1.1219,1.1228,1.113,1.1189
5/23/2016,1.1219,1.1218,1.1246,1.1187,1.1189
5/20/2016,1.1224,1.1204,1.1239,1.1194,1.1189
5/19/2016,1.1203,1.1216,1.123,1.1179,1.1188
5/18/2016,1.1217,1.1313,1.1327,1.1212,1.1188
5/17/2016,1.1314,1.1321,1.135,1.1303,1.1188
5/16/2016,1.132,1.1311,1.1346,1.1302,1.1187
5/13/2016,1.1308,1.1378,1.1383,1.1284,1.1185
05/12/2016,1.1377,1.1426,1.1434,1.1368,1.1184
05/11/2016,1.1427,1.1373,1.1448,1.1368,1.1182
05/10/2016,1.1372,1.1385,1.1413,1.1361,1.118
05/09/2016,1.1383,1.1401,1.1422,1.1375,1.1178
05/06/2016,1.1405,1.1408,1.1479,1.1387,1.1176
05/05/2016,1.1405,1.1486,1.1496,1.1385,1.1174
05/04/2016,1.1487,1.1496,1.153,1.1467,1.1171
05/03/2016,1.1497,1.1533,1.1616,1.1495,1.1168
05/02/2016,1.1532,1.1447,1.1539,1.1446,1.1165
4/29/2016,1.1456,1.1354,1.1461,1.1335,1.1161
4/28/2016,1.1353,1.132,1.137,1.1296,1.1158
4/27/2016,1.1321,1.1298,1.1364,1.1274,1.1156
4/26/2016,1.1298,1.1265,1.1338,1.1254,1.1154
4/25/2016,1.1266,1.1231,1.128,1.1216,1.1153
4/22/2016,1.1233,1.129,1.1311,1.122,1.1152
4/21/2016,1.1288,1.1297,1.1396,1.1272,1.1151
4/20/2016,1.1297,1.1356,1.1388,1.1288,1.115
4/19/2016,1.1358,1.1314,1.1387,1.1302,1.1148
4/18/2016,1.1314,1.1297,1.1334,1.1274,1.1146
4/15/2016,1.1283,1.1271,1.132,1.1246,1.1144
4/14/2016,1.1268,1.1274,1.1296,1.1234,1.1143
4/13/2016,1.1274,1.1385,1.1393,1.1266,1.1142
04/12/2016,1.1386,1.1408,1.1466,1.1347,1.114
04/11/2016,1.1408,1.1407,1.1448,1.1373,1.1138
04/08/2016,1.1401,1.1379,1.1421,1.135,1.1135
04/07/2016,1.1377,1.1398,1.1455,1.1337,1.1133
04/06/2016,1.1399,1.1384,1.1434,1.1327,1.113
04/05/2016,1.1384,1.1389,1.1406,1.1336,1.1127
04/04/2016,1.1392,1.1393,1.1414,1.1357,1.1125
04/01/2016,1.1387,1.138,1.1439,1.1334,1.1122
3/31/2016,1.138,1.1338,1.1413,1.1309,1.1119
3/30/2016,1.1338,1.129,1.1366,1.1281,1.1117
3/29/2016,1.1291,1.1198,1.1305,1.1168,1.1115
3/28/2016,1.1196,1.1164,1.1221,1.1154,1.1113
3/25/2016,1.1166,1.1176,1.1189,1.1153,1.1112
3/24/2016,1.1174,1.1179,1.1188,1.1143,1.1111
3/23/2016,1.1184,1.1218,1.1224,1.1158,1.1111
3/22/2016,1.1217,1.1245,1.1263,1.119,1.111
3/21/2016,1.1241,1.127,1.1286,1.1235,1.1109
3/18/2016,1.127,1.1319,1.1339,1.1257,1.1108
3/17/2016,1.1319,1.1224,1.1344,1.1205,1.1106
3/16/2016,1.1225,1.111,1.1245,1.1058,1.1104
3/15/2016,1.1109,1.11,1.1125,1.1071,1.1103
3/14/2016,1.1106,1.1151,1.1177,1.1076,1.1103
03/11/2016,1.1153,1.1177,1.1212,1.1081,1.1103
03/10/2016,1.1177,1.0998,1.1218,1.0821,1.1102
03/09/2016,1.0999,1.1012,1.1037,1.0946,1.1101
03/08/2016,1.1011,1.1014,1.1059,1.0992,1.1102
03/07/2016,1.1014,1.1008,1.1027,1.094,1.1103
03/04/2016,1.1004,1.0958,1.1045,1.0903,1.1104
03/03/2016,1.0957,1.0867,1.0974,1.0853,1.1105
03/02/2016,1.0868,1.0868,1.0881,1.0825,1.1107
03/01/2016,1.0867,1.0873,1.0896,1.0835,1.1109
2/29/2016,1.0873,1.0932,1.0964,1.0858,1.1112
2/26/2016,1.0934,1.102,1.1071,1.0913,1.1114
2/25/2016,1.1023,1.1014,1.1052,1.0987,1.1116
2/24/2016,1.1013,1.1019,1.1047,1.0957,1.1117
2/23/2016,1.102,1.1031,1.1055,1.0991,1.1118
2/22/2016,1.1029,1.1128,1.1137,1.1003,1.1119
2/19/2016,1.1134,1.1107,1.114,1.1067,1.112
2/18/2016,1.1107,1.113,1.1153,1.1072,1.1119
2/17/2016,1.1128,1.1143,1.118,1.1104,1.112
2/16/2016,1.1144,1.1155,1.1196,1.1123,1.112
2/15/2016,1.1155,1.1251,1.1253,1.1127,1.1119
02/12/2016,1.126,1.1328,1.1335,1.1215,1.1119
02/11/2016,1.1324,1.1292,1.1378,1.1274,1.1118
02/10/2016,1.129,1.1292,1.1311,1.1159,1.1115
02/09/2016,1.1293,1.1197,1.1339,1.1163,1.1114
02/08/2016,1.1198,1.1159,1.1218,1.1087,1.1112
02/05/2016,1.1159,1.1209,1.1246,1.111,1.1111
02/04/2016,1.1208,1.1104,1.124,1.107,1.1111
02/03/2016,1.1104,1.0917,1.1146,1.0903,1.111
02/02/2016,1.0919,1.0892,1.0944,1.0886,1.111
02/01/2016,1.0888,1.0833,1.0915,1.0814,1.1112
1/29/2016,1.0837,1.0938,1.0951,1.0812,1.1114
1/28/2016,1.0939,1.0891,1.0969,1.0869,1.1117
1/27/2016,1.0893,1.0871,1.0917,1.0851,1.1118
1/26/2016,1.0871,1.085,1.0875,1.0819,1.1121
1/25/2016,1.0849,1.0799,1.0858,1.0788,1.1123
1/22/2016,1.0797,1.0874,1.0879,1.079,1.1126
1/21/2016,1.0874,1.0893,1.0922,1.0779,1.1129
1/20/2016,1.0891,1.091,1.0977,1.0877,1.1132
1/19/2016,1.0909,1.0892,1.0941,1.0861,1.1134
1/18/2016,1.0892,1.0918,1.0941,1.0869,1.1136
1/15/2016,1.0917,1.0866,1.0987,1.0855,1.1139
1/14/2016,1.0865,1.088,1.0945,1.0835,1.1141
1/13/2016,1.0877,1.0858,1.0891,1.0807,1.1144
01/12/2016,1.0857,1.0859,1.0904,1.0822,1.1147
01/11/2016,1.086,1.0923,1.0969,1.0847,1.1149
01/08/2016,1.0932,1.0934,1.0936,1.0804,1.1152
01/07/2016,1.0936,1.0779,1.0941,1.077,1.1155
01/06/2016,1.0781,1.0749,1.0802,1.0721,1.1157
01/05/2016,1.0748,1.0831,1.084,1.0711,1.1161
01/04/2016,1.0831,1.0858,1.0949,1.0783,1.1165
01/01/2016,1.086,1.0862,1.0869,1.0845,1.1168
12/31/2015,1.0861,1.0932,1.0938,1.085,1.1171
12/30/2015,1.0932,1.092,1.0947,1.0903,1.1174
12/29/2015,1.0917,1.0968,1.0992,1.0899,1.1177
12/28/2015,1.0968,1.0965,1.0995,1.0951,1.1179
12/25/2015,1.0977,1.0973,1.0979,1.0945,1.1181
12/24/2015,1.0972,1.0913,1.0976,1.0903,1.1184
12/23/2015,1.0909,1.0955,1.0957,1.0869,1.1186
12/22/2015,1.0955,1.0913,1.0985,1.0901,1.1188
12/21/2015,1.0915,1.0863,1.0941,1.0848,1.1191
12/18/2015,1.0868,1.0828,1.0877,1.0806,1.1194
12/17/2015,1.0825,1.0915,1.0915,1.08,1.1197
12/16/2015,1.0913,1.0932,1.1008,1.0888,1.1201
12/15/2015,1.0928,1.0991,1.1059,1.0903,1.1203
12/14/2015,1.0992,1.0985,1.105,1.0946,1.1206
12/11/2015,1.0989,1.0943,1.1033,1.0926,1.1208
12/10/2015,1.0941,1.1027,1.1029,1.0924,1.1211
12/09/2015,1.1025,1.0888,1.1042,1.0877,1.1213
12/08/2015,1.0894,1.0835,1.0901,1.0827,1.1215
12/07/2015,1.0835,1.0859,1.0888,1.0795,1.1218
12/04/2015,1.0886,1.0939,1.0957,1.0837,1.1222
12/03/2015,1.0941,1.0616,1.0983,1.0541,1.1226
12/02/2015,1.0615,1.0633,1.0644,1.0553,1.1228
12/01/2015,1.0631,1.0566,1.0638,1.0562,1.1235
11/30/2015,1.0564,1.0591,1.0596,1.0558,1.1241
11/27/2015,1.0593,1.061,1.064,1.057,1.1248
11/26/2015,1.061,1.0627,1.0633,1.06,1.1254
11/25/2015,1.0627,1.0642,1.069,1.0566,1.1261
11/24/2015,1.0641,1.0634,1.0674,1.062,1.1267
11/23/2015,1.0636,1.0647,1.0658,1.0593,1.1273
11/20/2015,1.0646,1.0736,1.0745,1.0641,1.128
11/19/2015,1.0734,1.0657,1.0764,1.0654,1.1286
11/18/2015,1.0659,1.064,1.0694,1.0617,1.1292
11/17/2015,1.0644,1.069,1.0696,1.0633,1.1298
11/16/2015,1.0686,1.0751,1.0781,1.0675,1.1304
11/13/2015,1.0779,1.0816,1.0818,1.0715,1.1311
11/12/2015,1.0817,1.0743,1.0829,1.069,1.1316
11/11/2015,1.0744,1.0724,1.0774,1.0705,1.1321
11/10/2015,1.0724,1.0751,1.0764,1.0673,1.1327
11/09/2015,1.0752,1.0738,1.0793,1.0719,1.1333
11/06/2015,1.0741,1.0886,1.0896,1.0709,1.1339
11/05/2015,1.0884,1.0865,1.0898,1.0835,1.1345
11/04/2015,1.0863,1.0962,1.0968,1.0842,1.1349
11/03/2015,1.0968,1.1014,1.1031,1.0936,1.1354
11/02/2015,1.1015,1.1015,1.1053,1.1001,1.1358
10/30/2015,1.1006,1.0976,1.1073,1.0964,1.1362
10/29/2015,1.0976,1.0924,1.0985,1.0903,1.1365
10/28/2015,1.092,1.105,1.1096,1.0894,1.1369
10/27/2015,1.1048,1.1056,1.1079,1.1029,1.1374
10/26/2015,1.1056,1.1008,1.1069,1.0987,1.1377
10/23/2015,1.1018,1.1111,1.1142,1.0997,1.138
10/22/2015,1.1107,1.1338,1.1351,1.1098,1.1384
10/21/2015,1.1339,1.1347,1.138,1.1335,1.1387
10/20/2015,1.1345,1.1326,1.1387,1.1324,1.1387
10/19/2015,1.1327,1.1352,1.1382,1.1307,1.1387
10/16/2015,1.1347,1.1383,1.1397,1.1334,1.1388
10/15/2015,1.1383,1.1474,1.1496,1.1363,1.1388
10/14/2015,1.1473,1.1378,1.149,1.1374,1.1388
10/13/2015,1.1379,1.1358,1.1413,1.1346,1.1388
10/12/2015,1.1355,1.1355,1.1397,1.1351,1.1388
10/09/2015,1.1358,1.1282,1.1391,1.1269,1.1388
