Date,Price,Open,High,Low,Vol,Change,200EMA
2022.10.26,1.0077,0.9966,1.0089,0.9943,84300,1.13,1.043892194
2022.10.25,0.9964,0.9874,0.9977,0.9848,74000,0.91,1.044255935
2022.10.24,0.9874,0.9867,0.99,0.9807,91240,0.14,1.044736899
2022.10.21,0.986,0.9786,0.9869,0.9704,92870,0.79,1.045313149
2022.10.20,0.9783,0.9773,0.9846,0.9754,92630,0.12,1.045909261
2022.10.19,0.9771,0.9858,0.9873,0.9757,88910,-0.82,1.046588752
2022.10.18,0.9852,0.9838,0.9876,0.9812,98980,0.14,1.047287131
2022.10.17,0.9838,0.9726,0.9853,0.9719,88290,1.22,1.047911122
2022.10.14,0.9719,0.9778,0.9809,0.9707,108590,-0.55,1.048555455
2022.10.13,0.9773,0.9702,0.9807,0.9632,95280,0.71,1.049325862
2022.10.12,0.9704,0.9708,0.9735,0.9668,93220,0.01,1.05004974
2022.10.11,0.9703,0.97,0.9776,0.9672,127210,0.03,1.05085024
2022.10.10,0.97,0.9736,0.9754,0.9682,97220,-0.42,1.05165979
2022.10.07,0.9741,0.979,0.9818,0.9725,78520,-0.48,1.052480491
2022.10.06,0.9788,0.9879,0.9927,0.9787,89260,-0.95,1.053268235
2022.10.05,0.9882,0.9986,0.9995,0.9834,88680,-1.01,1.054016659
2022.10.04,0.9983,0.9826,1,0.9805,86110,1.62,1.054678133
2022.10.03,0.9824,0.98,0.9845,0.9753,97650,0.26,1.055244748
2022.09.30,0.9799,0.9816,0.9855,0.9735,94060,-0.15,1.055976856
2022.09.29,0.9814,0.9735,0.9816,0.9635,96260,0.82,1.056741447
2022.09.28,0.9734,0.9594,0.9751,0.9535,104440,1.48,1.057498648
2022.09.27,0.9592,0.961,0.9671,0.9568,104220,-0.15,1.05834386
2022.09.26,0.9606,0.9679,0.9711,0.9567,109840,-0.87,1.059340281
2022.09.23,0.969,0.9837,0.9852,0.9668,90970,-1.48,1.060332645
2022.09.22,0.9836,0.9837,0.9908,0.9808,103830,-0.01,1.061250561
2022.09.21,0.9837,0.9972,0.9978,0.9813,87440,-1.33,1.062030969
2022.09.20,0.997,1.0023,1.0051,0.9955,72940,-0.52,1.062818215
2022.09.19,1.0022,1.0012,1.003,0.9966,63180,0.07,1.063479705
2022.09.16,1.0015,1.0001,1.0037,0.9944,72840,0.16,1.064095581
2022.09.15,0.9999,0.998,1.0019,0.9955,69080,0.22,1.064724682
2022.09.14,0.9977,0.9969,1.0024,0.9955,87670,0.07,1.065376187
2022.09.13,0.997,1.0123,1.0188,0.9966,77650,-1.47,1.066056349
2022.09.12,1.0119,1.008,1.0199,1.0059,62340,0.8,1.066750383
2022.09.09,1.0039,0.9995,1.0114,0.9995,76390,0.45,1.067301643
2022.09.08,0.9994,1.0002,1.003,0.993,86340,-0.05,1.067938846
2022.09.07,0.9999,0.9904,1.0012,0.9875,82610,0.98,1.068627678
2022.09.06,0.9902,0.9927,0.9987,0.9863,101490,-0.24,1.069318409
2022.09.05,0.9926,0.995,0.995,0.9877,67110,-0.25,1.070113569
2022.09.02,0.9951,0.9945,1.0035,0.9942,68960,0.07,1.070892599
2022.09.01,0.9944,1.0055,1.0057,0.9911,85850,-1.12,1.071654334
2022.08.31,1.0057,1.0014,1.0079,0.9971,87590,0.45,1.07243076
2022.08.30,1.0012,0.9996,1.0056,0.9981,90210,0.17,1.07310142
