Date,Price,Open,High,Low,Change %,200EMA,20EMA
09/07/2015,1.1168,1.1157,1.1178,1.112,0.19%,1.1426,1.1193
09/04/2015,1.1147,1.1124,1.1181,1.1089,0.21%,1.1429,1.1195
09/03/2015,1.1124,1.1227,1.1246,1.1088,-0.92%,1.1431,1.12
09/02/2015,1.1227,1.1311,1.1319,1.1214,-0.81%,1.1434,1.1209
09/01/2015,1.1319,1.1211,1.1333,1.1206,0.94%,1.1437,1.1207
08/31/2015,1.1214,1.1176,1.1265,1.1162,0.31%,1.1438,1.1195
08/28/2015,1.1179,1.1247,1.131,1.1156,-0.59%,1.144,1.1193
08/27/2015,1.1245,1.1314,1.1366,1.1204,-0.62%,1.1443,1.1194
08/26/2015,1.1315,1.1515,1.1561,1.129,-1.75%,1.1445,1.1189
08/25/2015,1.1517,1.1619,1.1625,1.1399,-0.89%,1.1446,1.1176
08/24/2015,1.162,1.1363,1.1713,1.1363,2.03%,1.1445,1.114
08/21/2015,1.1389,1.1244,1.1393,1.1229,1.31%,1.1443,1.1089
08/20/2015,1.1242,1.1117,1.1246,1.1105,1.11%,1.1444,1.1057
08/19/2015,1.1119,1.1023,1.1137,1.1019,0.89%,1.1446,1.1038
08/18/2015,1.1021,1.1083,1.1096,1.1018,-0.54%,1.1449,1.103
08/17/2015,1.1081,1.1106,1.1125,1.1058,-0.23%,1.1454,1.103
08/14/2015,1.1107,1.1149,1.1189,1.1096,-0.38%,1.1457,1.1025
08/13/2015,1.1149,1.1157,1.1189,1.108,-0.07%,1.1461,1.1016
08/12/2015,1.1157,1.104,1.1212,1.1023,1.06%,1.1464,1.1003
08/11/2015,1.104,1.1019,1.1088,1.096,0.19%,1.1467,1.0986
08/10/2015,1.1019,1.0969,1.1044,1.0927,0.46%,1.1471,1.0981
08/07/2015,1.0968,1.093,1.0981,1.0857,0.39%,1.1476,1.0977
08/06/2015,1.0925,1.0909,1.0944,1.0876,0.17%,1.1481,1.0977
08/05/2015,1.0906,1.0883,1.0938,1.0849,0.22%,1.1487,1.0983
08/04/2015,1.0882,1.0951,1.0989,1.0877,-0.63%,1.1492,1.0991
08/03/2015,1.0951,1.097,1.0997,1.0941,-0.34%,1.1499,1.1003
07/31/2015,1.0988,1.0934,1.1114,1.0921,0.50%,1.1504,1.1008
07/30/2015,1.0933,1.0987,1.0992,1.0894,-0.48%,1.1509,1.101
07/29/2015,1.0986,1.1061,1.1086,1.0967,-0.66%,1.1515,1.1018
07/28/2015,1.1059,1.1089,1.1101,1.1022,-0.32%,1.152,1.1022
07/27/2015,1.1094,1.0974,1.113,1.097,1.00%,1.1525,1.1018
07/24/2015,1.0984,1.0983,1.0997,1.0926,0.01%,1.1529,1.101
07/23/2015,1.0983,1.0928,1.1019,1.0922,0.45%,1.1535,1.1012
07/22/2015,1.0934,1.0936,1.0966,1.0869,-0.03%,1.154,1.1015
07/21/2015,1.0937,1.0825,1.097,1.0811,1.02%,1.1546,1.1024
07/20/2015,1.0827,1.0833,1.0872,1.081,-0.02%,1.1553,1.1033
07/17/2015,1.0829,1.0875,1.0907,1.0827,-0.42%,1.156,1.1055
07/16/2015,1.0875,1.0947,1.0964,1.0856,-0.68%,1.1567,1.1079
07/15/2015,1.0949,1.101,1.1035,1.093,-0.57%,1.1574,1.11
07/14/2015,1.1012,1.1004,1.1084,1.0966,0.07%,1.158,1.1116
07/13/2015,1.1004,1.1107,1.1197,1.0995,-1.43%,1.1586,1.1127
07/10/2015,1.1164,1.1037,1.1218,1.1031,1.14%,1.1592,1.114
07/09/2015,1.1038,1.1078,1.1126,1.0992,-0.35%,1.1596,1.1137
07/08/2015,1.1077,1.1012,1.1094,1.0974,0.59%,1.1602,1.1148
07/07/2015,1.1012,1.1056,1.1061,1.0917,-0.41%,1.1607,1.1155
07/06/2015,1.1057,1.0993,1.1097,1.0969,-0.51%,1.1613,1.117
07/03/2015,1.1114,1.1086,1.1119,1.1066,0.27%,1.1619,1.1182
07/02/2015,1.1084,1.1054,1.1124,1.1031,0.27%,1.1624,1.1189
07/01/2015,1.1054,1.1139,1.1172,1.1042,-0.75%,1.1629,1.12
06/30/2015,1.1138,1.1237,1.1246,1.1114,-0.87%,1.1635,1.1216
06/29/2015,1.1236,1.1031,1.1279,1.0954,0.63%,1.164,1.1224
06/26/2015,1.1166,1.1207,1.1221,1.1131,-0.34%,1.1644,1.1223
06/25/2015,1.1204,1.1204,1.1227,1.1153,-0.03%,1.1649,1.1229
06/24/2015,1.1207,1.1171,1.1237,1.1156,0.33%,1.1653,1.1231
06/23/2015,1.117,1.1341,1.1348,1.1135,-1.51%,1.1658,1.1234
06/22/2015,1.1341,1.1363,1.1411,1.1312,-0.11%,1.1663,1.1241
06/19/2015,1.1353,1.136,1.1393,1.1292,-0.06%,1.1666,1.123
06/18/2015,1.136,1.1337,1.1438,1.1331,0.20%,1.1669,1.1217
06/17/2015,1.1337,1.1249,1.136,1.1213,0.79%,1.1672,1.1202
06/16/2015,1.1248,1.1283,1.1331,1.1206,-0.32%,1.1676,1.1188
06/15/2015,1.1284,1.1225,1.1294,1.1189,0.13%,1.168,1.1182
06/12/2015,1.1269,1.1258,1.1298,1.1151,0.10%,1.1684,1.1171
06/11/2015,1.1258,1.1325,1.1332,1.1183,-0.60%,1.1688,1.1161
06/10/2015,1.1326,1.1286,1.1387,1.1261,0.37%,1.1692,1.115
06/09/2015,1.1284,1.1292,1.1345,1.1214,-0.07%,1.1696,1.1132
06/08/2015,1.1292,1.1113,1.1307,1.108,1.61%,1.17,1.1116
06/05/2015,1.1113,1.1239,1.1281,1.105,-1.12%,1.1704,1.1097
06/04/2015,1.1239,1.1276,1.1381,1.1227,-0.32%,1.171,1.1096
06/03/2015,1.1275,1.1151,1.1284,1.1079,1.08%,1.1715,1.1081
06/02/2015,1.1155,1.0928,1.1193,1.0915,2.08%,1.1719,1.106
06/01/2015,1.0928,1.0989,1.0991,1.0888,-0.55%,1.1725,1.105
05/29/2015,1.0988,1.0948,1.1006,1.0926,0.36%,1.1733,1.1063
05/28/2015,1.0949,1.0905,1.096,1.0869,0.40%,1.1741,1.1071
05/27/2015,1.0905,1.0873,1.0931,1.082,0.29%,1.1749,1.1084
05/26/2015,1.0873,1.0978,1.0985,1.0863,-0.96%,1.1757,1.1103
05/25/2015,1.0978,1.1006,1.1012,1.0961,-0.36%,1.1766,1.1127
05/22/2015,1.1018,1.1115,1.1211,1.1004,-0.85%,1.1774,1.1142
05/21/2015,1.1113,1.1092,1.1181,1.108,0.18%,1.1781,1.1155
05/20/2015,1.1093,1.115,1.1156,1.1063,-0.50%,1.1788,1.116
05/19/2015,1.1149,1.1317,1.1328,1.1119,-1.47%,1.1795,1.1167
05/18/2015,1.1315,1.1441,1.145,1.1298,-1.20%,1.1802,1.1169
05/15/2015,1.1452,1.141,1.1467,1.1324,0.37%,1.1806,1.1153
05/14/2015,1.141,1.1359,1.1447,1.1341,0.47%,1.181,1.1122
05/13/2015,1.1357,1.1214,1.1385,1.1204,1.28%,1.1814,1.1092
05/12/2015,1.1214,1.1155,1.1277,1.1134,0.53%,1.1819,1.1064
05/11/2015,1.1155,1.1197,1.1207,1.1131,-0.44%,1.1825,1.1048
05/08/2015,1.1204,1.1267,1.129,1.1178,-0.56%,1.1831,1.1037
05/07/2015,1.1267,1.1347,1.1393,1.1237,-0.76%,1.1838,1.1019
05/06/2015,1.1353,1.1187,1.1372,1.1176,1.49%,1.1844,1.0993
05/05/2015,1.1186,1.1147,1.1223,1.1067,0.36%,1.1848,1.0955
05/04/2015,1.1146,1.1202,1.1226,1.1123,-0.50%,1.1855,1.0931
05/01/2015,1.1202,1.1223,1.129,1.1176,-0.20%,1.1862,1.0908
04/30/2015,1.1225,1.113,1.1269,1.1073,0.84%,1.1869,1.0877
04/29/2015,1.1132,1.0983,1.1189,1.096,1.38%,1.1875,1.0841
04/28/2015,1.0981,1.0894,1.0991,1.0859,0.85%,1.1883,1.081
04/27/2015,1.0888,1.0873,1.0928,1.0821,0.13%,1.1892,1.0792
04/24/2015,1.0874,1.0825,1.0901,1.0785,0.43%,1.1902,1.0782
04/23/2015,1.0827,1.0726,1.0848,1.0667,0.94%,1.1912,1.0772
04/22/2015,1.0726,1.0736,1.0802,1.0709,-0.09%,1.1923,1.0767
04/21/2015,1.0736,1.074,1.0784,1.0661,-0.01%,1.1935,1.0771
04/20/2015,1.0737,1.0821,1.0825,1.0713,-0.65%,1.1947,1.0774
04/17/2015,1.0807,1.0762,1.085,1.0737,0.42%,1.1959,1.0778
04/16/2015,1.0762,1.0684,1.0819,1.0625,0.71%,1.1971,1.0775
04/15/2015,1.0686,1.0655,1.0703,1.0572,0.30%,1.1983,1.0777
04/14/2015,1.0654,1.0566,1.0709,1.053,0.81%,1.1996,1.0786
04/13/2015,1.0568,1.0602,1.0619,1.052,-0.34%,1.201,1.08
04/10/2015,1.0604,1.066,1.0685,1.0569,-0.52%,1.2024,1.0825
04/09/2015,1.0659,1.0781,1.0789,1.0638,-1.13%,1.2038,1.0848
04/08/2015,1.0781,1.0816,1.0888,1.0764,-0.32%,1.2052,1.0868
