"((((1.5013, 54.5179), 20000), 0), 0)"
"((((1.5091, 157.9964), 60000), 0), 0)"
"((((1.5091, 157.9964), 60000), 20), 0)"
"((((1.5325, 82.9422), 80000), -3.141592653589793), 0)"
"((((1.5325, 82.9422), 80000), 20), 0)"
"((((1.5325, 10.7373), 80000), 0), 0)"
"((((1.4623, 82.9422), 40000), 0), 0)"
"((((1.4623, 82.9422), 40000), 20), 0)"
"((((1.2985, 157.9964), 40000), 20), 0)"
"((((1.3609, 117.8789), 60000), 20), 0)"
"((((1.2907, 33.9805), 80000), 20), 0)"
"((((1.1503, 198.8483), 80000), 20), 0)"
"((((1.2127, 82.9422), 80000), 20), 0)"
"((((1.1737, 157.9964), 40000), -3.141592653589793), 0)"
"((((1.1737, 157.9964), 40000), 20), 0)"
"((((1.3375, 54.5179), 100000), 0), 0)"
"((((1.2751, 198.8483), 60000), 0), 0)"
"((((1.2673, 117.8789), -80000), 3.141592653589793), 0)"
"((((1.2595, 198.8483), 60000), 20), 0)"
"((((1.4311, 157.9964), -20000), -20), 0)"
"((((1.3999, 82.9422), 80000), 0), 0)"
"((((1.3999, 82.9422), 80000), 20), 0)"
"((((1.3531, 157.9964), 80000), 0), 0)"
"((((1.3531, 157.9964), 80000), -3.141592653589793), 0)"
"((((0.9475, 82.9422), -40000), -20), 0)"
"((((0.9241, 198.8483), -20000), 3.141592653589793), 0)"
"((((0.8695, 198.8483), 40000), -3.141592653589793), 0)"
"((((0.8305, 20.6193), 60000), 20), 0)"
"((((0.8305, 33.9805), 60000), -3.141592653589793), 0)"
"((((0.8461, 20.6193), 60000), 0), 0)"
"((((0.8461, 20.6193), 60000), 20), 0)"
"((((0.9319, 82.9422), 60000), -3.141592653589793), 0)"
"((((0.9553, 117.8789), 60000), 0), 0)"
"((((1.0411, 198.8483), -80000), -20), 0)"
"((((1.0255, 117.8789), 60000), 0), 0)"
"((((1.0255, 54.5179), 80000), 0), 0)"
"((((1.0255, 54.5179), 80000), 20), 0)"
"((((0.9475, 54.5179), 40000), 0), 0)"
"((((0.9475, 54.5179), 40000), 20), 0)"
"((((0.9241, 117.8789), -100000), 3.141592653589793), 0)"
"((((0.9241, 20.6193), -100000), 0), 0)"
"((((1.0021, 54.5179), 80000), -3.141592653589793), 0)"
"((((1.0099, 157.9964), -60000), 0), 0)"
"((((1.0099, 157.9964), -60000), -20), 0)"
"((((1.0177, 54.5179), 40000), 20), 0)"
"((((1.0333, 33.9805), -80000), 0), 0)"
"((((1.0099, 54.5179), 80000), 0), 0)"
"((((1.0099, 54.5179), 80000), -3.141592653589793), 0)"
"((((1.0177, 20.6193), 100000), 0), 0)"
"((((0.9865, 54.5179), 80000), 0), 0)"
"((((0.9397, 54.5179), -80000), 0), 0)"
"((((0.9397, 54.5179), -80000), -20), 0)"
"((((0.9631, 54.5179), 60000), 0), 0)"
"((((0.9631, 54.5179), 60000), 20), 0)"
"((((1.0099, 117.8789), 40000), 20), 0)"
